timestamp,percent,state,seconds_left,,,
2025-08-31 13:13,99,Charging,Yes,-,-,
2025-08-31 13:13,100,Charging,Yes,-,0,
2025-08-31 13:14,100,Charging,Yes,-,0,
2025-08-31 13:14,100,Charging,Yes,-,0,
2025-08-31 13:15,100,Charging,Yes,-,0,
2025-08-31 13:15,100,Charging,Yes,-,0,
2025-08-31 13:16,100,Charging,Yes,-,0,
2025-08-31 13:16,100,Charging,Yes,-,0,
2025-08-31 13:17,100,Charging,Yes,-,0,
2025-08-31 13:17,100,Charging,Yes,-,0,
2025-08-31 13:18,100,Charging,Yes,-,0,
2025-08-31 13:18,100,Charging,Yes,-,0,
2025-08-31 13:19,100,Charging,Yes,-,0,
2025-08-31 13:19,100,Charging,Yes,-,0,
2025-08-31 13:20,100,Charging,Yes,-,0,
2025-08-31 13:20,100,Charging,Yes,-,0,
2025-08-31 13:21,100,Charging,Yes,-,0,
2025-08-31 13:21,100,Charging,Yes,-,0,
2025-08-31 13:22,100,Charging,Yes,-,0,
2025-08-31 13:22,100,Charging,Yes,-,0,
2025-08-31 13:23,100,Charging,Yes,-,0,
2025-08-31 13:23,100,Charging,Yes,-,0,
2025-08-31 13:24,100,Charging,Yes,-,0,
2025-08-31 13:24,100,Charging,Yes,-,0,
2025-08-31 13:25,100,Charging,Yes,-,0,
2025-08-31 13:25,100,Charging,Yes,-,0,
2025-08-31 13:26,100,Charging,Yes,-,0,
2025-08-31 13:26,100,Charging,Yes,-,0,
2025-08-31 13:27,100,Charging,Yes,-,0,
2025-08-31 13:27,100,Discharging,No,4294967295,-,UNPLUGGED
2025-08-31 13:28,100,Discharging,No,4294967295,-,
2025-08-31 13:28,100,Discharging,No,4294967295,-,
2025-08-31 13:29,99,Discharging,No,4294967295,20795,
2025-08-31 13:29,99,Discharging,No,4294967295,20796,
2025-08-31 13:30,99,Discharging,No,4294967295,20796,
2025-08-31 13:30,99,Discharging,No,4294967295,20797,
2025-08-31 13:31,98,Discharging,No,4294967295,10294,
2025-08-31 13:31,98,Discharging,No,4294967295,10294,
2025-08-31 13:32,98,Discharging,No,4294967295,10294,
2025-08-31 13:32,97,Discharging,No,4294967295,10189,
2025-08-31 13:33,97,Discharging,No,4294967295,10189,
2025-08-31 13:33,97,Discharging,No,4294967295,10190,
2025-08-31 13:34,97,Discharging,No,4294967295,10189,
2025-08-31 13:34,97,Discharging,No,4294967295,20378,
2025-08-31 13:35,97,Discharging,No,4294967295,20377,
2025-08-31 13:35,97,Discharging,No,4294967295,20377,
2025-08-31 13:36,97,Discharging,No,4294967295,-,
2025-08-31 13:36,96,Discharging,No,4294967295,20166,
2025-08-31 13:37,96,Discharging,No,4294967295,20166,
2025-08-31 13:37,96,Discharging,No,4294967295,20166,
2025-08-31 13:38,96,Discharging,No,4294967295,20167,
2025-08-31 13:38,96,Discharging,No,4294967295,20168,
2025-08-31 13:39,95,Discharging,No,4294967295,9979,
2025-08-31 13:39,95,Discharging,No,4294967295,9979,
2025-08-31 13:40,95,Discharging,No,4294967295,19959,
2025-08-31 13:40,95,Discharging,No,4294967295,19961,
2025-08-31 13:41,94,Discharging,No,4294967295,9876,
2025-08-31 13:41,94,Discharging,No,4294967295,9876,
2025-08-31 13:42,94,Discharging,No,4294967295,9876,
2025-08-31 13:42,94,Discharging,No,4294967295,19753,
2025-08-31 13:43,94,Discharging,No,4294967295,19752,
2025-08-31 13:43,93,Discharging,No,4294967295,9771,
